Aberdonian	Aberdeen
Abyssinian	Abyssinia
Acadian	Acadia
Afghan	Afghanistan
African	Africa
Akkadian	Akkadia
Alabamian	Alabama
Alaskan	Alaska
Albanian	Albania
Alberta	Alberta
Algerian	Algeria
Amalfitan	Amalfi
American Samoan	American Samoa
American	United States
Andorran	Andorra
Angeleno	Los Angeles
Angolan	Angola
Anguillan	Anguilla
Antarctic	Antarctica
Antiguan	Antigua and Barbuda
Aostan	Aosta
Argentine	Argentina
Argive	Argos
Arizonan	Arizona
Arkansan	Arkansas
Armachian	Armagh
Armenian	Armenia
Aruban	Aruba
Asian	Asia
Athenian	Athens
Atlantan	Atlanta
Auckland	Auckland Region
Australasian	Australasia
Australian	Australia
Austrian	Austria
Austro-Hungarian	Austria-Hungary
Azerbaijani	Azerbaijan
Babylonian	Babylonia
Bactrian	Bactria, Bactriana
Bahamian	Bahamas
Bahraini	Bahrain
Baltimorean	Baltimore
Bangkokian	Bangkok
Bangladeshi	Bangladesh
Barbadian	Barbados
Basotho	Lesotho
Baton Rougean	Baton Rouge
Bay of Plenty	Bay of Plenty
Belarusian	Belarus
Belgian	Belgium
Belizean	Belize
Beneventan	Benevento
Beninese	Benin
Bergamasque	Bergamo
Berliner	Berlin
Bermudian	Bermuda
Bernese	Berne
Bessarabian	Bessarabia
Bhutanese	Bhutan
Birminghamian	Birmingham
Blefuscudian	Blefuscu
Bolivian	Bolivia
Bolognese	Bologna
Bosnian	Bosnia and Herzegovina
Bostonian	Boston
Brazilian	Brazil
Brescian	Brescia
Brisbane	Brisbane
Bristolian	Bristol
British	United Kingdom
British Columbian	British Columbia
British Virgin Island	British Virgin Islands
Brobdingnagian	Brobdingnag
Bruneian	Brunei
Budapesi	Budapest
Bulgarian	Bulgaria
Burkinabe	Burkina Faso a
Burmese	Burma
Burundian	Burundi
Byzantine	Byzantium
Calgarian	Calgary
Californian	California
Cambodian	Cambodia
Cameroonian	Cameroon
Canadian	Canada
Canberran	Australian Capital Territory
Cantabrigian	Cambridge
Canterbury	Canterbury
Cape Verdean	Cape Verde
Capitalino	Mexico City
Caraquenian	Caracas
Carioca	Rio de Janeiro
Carthaginian	Carthage
Carystian	Carystus
Caymanian	Cayman Islands
Central African	Central African Republic
Ceylonese	Ceylon
Chadian	Chad
Charlottean	Charlotte
Chechnyan	Chechnya
Chicagoan	Chicago
Chilean	Chile
Chinese	China
Christmas Island	Christmas Island
Cocos Island	Cocos Islands
Colombian	Colombia
Coloradan	Colorado
Colossian	Colossae
Comorian	Comoros
Confederate	Confederate States of America
Congolese	Congo
Cook Island	Cook Islands
Copenhagener	Copenhagen
Corinthian	Corinth
Cork	Cork
Costa Rican	Costa Rica
Croatian	Croatia
Cuban	Cuba
Cypriot	Cyprus
Cyrenaic	Cyrenaica
Czech	Czech Republic
Czechoslovakian	Czechoslovakia
Dacian	Dacia
Danish	Denmark
Delawarean	Delaware
Denverite	Denver
Djiboutian	Djibouti
Dominican	Dominica
Dominican	Dominican Republic
Dublin	Dublin
Dundonian	Dundee
Dunedin	Dunedin
Dutch	Netherlands
Dutch Antillean	Netherlands Antilles
East Coast	East Coast
Ecuadorian	Ecuador
Edmontonian	Edmonton
Egyptian	Egypt
Elamite	Elam
Emirati	United Arab Emirates
English	England
Ephesian	Ephesus
Epidaurian	Epidaurus
Equatorial Guinean	Equatorial Guinea
Eritrean	Eritrea
Estonian	Estonia
Ethiopian	Ethiopia
Etruscan	Etruria
Eurasian	Eurasia
European	Europe
Falkland Island	Falkland Islands
Faroese	Faroe Islands
Fijian	Fiji
Finnish	Finland
Florentine	Florence
Floridian	Florida
French	France
French Guianese	French Guiana
French Polynesian	French Polynesia
Gabonese	Gabon
Galatian	Galatia
Gallic	Gaul
Galway	Galway
Gambian	Gambia
Genevan	Geneva
Genoese	Genoa
Georgian	Georgia
German	Germany
Germanian	Germania
Ghanaian	Ghana
Gibraltar	Gibraltar
Glaswegian	Glasgow
Greek	Greece
Greenlandic	Greenland
Grenadian	Grenada
Guadeloupe	Guadeloupe
Guamanian	Guam
Guatemalan	Guatemala
Guinean	Guinea-Bissau
Guyanese	Guyana
Haitian	Haiti
Haligonian	Halifax
Hamiltonian	Hamilton
Hanoverian	Hanover
Hawaiian	Hawaii
Hawke's Bay	Hawke's Bay
Honduran	Honduras
Hong Kong	Hong Kong
Honolulan	Honolulu
Houstonian	Houston
Hungarian	Hungary
I-Kiribati	Kiribati
Icelandic	Iceland
Idahoan	Idaho
Illinoisan	Illinois
Illyrian	Illyria
Indian	India
Indonesian	Indonesia
Invercargill	Invercargill
Invernessian	Inverness
Iowan	Iowa
Iranian	Iran
Iraqi	Iraq
Irish	Ireland
Israeli	Israel
Italian	Italy
Ivorian	Côte d'Ivoire
Jamaican	Jamaica
Japanese	Japan
Jerusalemite	Jerusalem
Jordanian	Jordan
Jovian	Jupiter
Kansan	Kansas
Kastorian	Kastoria
Kazakhstani	Kazakhstan
Kenyan	Kenya
Kingstonian	Kingston
Kittitian	St. Kitts and Nevis
Kuwaiti	Kuwait
Kyrgyzstani	Kyrgyzstan
Laotian	Laos
Laputan	Laputa
Latvian	Latvia
Lebanese	Lebanon
Leghornese	Leghorn
Leonese	León
Liberian	Liberia
Libyan	Libya
Liechtenstein	Liechtenstein
Lilliputian	Lilliput
Lithuanian	Lithuania
Liverpudlian	Liverpool
Locrian	Locris
Londoner	London
Louisianan	Louisiana
Lunar		Moon
Luxembourg	Luxembourg
Lyonese	Lyon
Macanese	Macau
Macedonian	Republic of Macedonia
Madrilenian	Madrid
Mahoran	Mayotte
Malagan	Málaga
Malagasy	Madagascar
Malawian	Malawi
Malay	Malaya
Malaysian	Malaysia
Maldivian	Maldives
Malian	Mali
Maltese	Malta
Manchurian	Manchuria
Mancunian	Manchester
Manhattanite	Manhattan
Manileño	Manila
Manitoba	Manitoba
Mantuan	Mantua
Manx	Isle of Man
Marathonian	Marathon
Marlborough	Marlborough
Marseillais	Marseille
Marshallese	Marshall Islands
Martian	Mars
Martiniquais	Martinique
Mauritanian	Mauritania
Mauritian	Mauritius
Megarian	Megara
Melburnian	Melbourne
Memphian	Memphis
Mercurian	Mercury
Mesopotamian	Mesopotamia
Messinese	Messina
Mexican	Mexico
Micronesian	Micronesia
Milanese	Milan
Minnesotan	Minnesota
Missourian	Missouri
Modenese	Modena
Moldavian	Moldavia
Moldovan	Moldova
Mongolian	Mongolia
Montanan	Montana
Montenegrin	Montenegro
Montreal	Montreal
Montserratian	Montserrat
Monégasque	Monaco
Moravian	Moravia
Moroccan	Morocco
Motswana	Botswana
Mozambican	Mozambique
Muscovite	Moscow
Myanma	Myanmar
Münchner	Munich
Namibian	Namibia
Nashvillian	Nashville
Nauran	Nauru
Neapolitan	Naples
Nebraskan	Nebraska
Nelson	Nelson
Nelsonian	Nelson
Nepali	Nepal
Neptunian	Neptune
New Brunswick	New Brunswick
New Caledonian	New Caledonia
New Hampshirite	New Hampshire
New Mexican	New Mexico
New Orleanian	New Orleans
New South Welsh	New South Wales
New Yorker	New York City
New Zealand	New Zealand
Newfoundland and Labrador	Newfoundland and Labrador
Ni-Vanuatu	Vanuatu
Nicaraguan	Nicaragua
Nicosian	Nicosia
Nigerian	Nigeria
Nigerien	Niger
Niuean	Niue
Niçois	Nice
North American	North America
North Carolinian	North Carolina
North Korean	North Korea
Northamptonian	Northampton
Northern Marianan	Northern Marianas
Northern Territory	Northern Territory
Northland	Northland
Northwest Territorian	Northwest Territories
Norwegian	Norway
Nova Scotia	Nova Scotia
Novocastrian	Newcastle
Nunavut	Nunavut
Oaklander	Oakland
Oamaru	Oamaru
Oceanian	Oceania
Odessit	Odessa
Okinawan	Okinawa
Oklahoman	Oklahoma
Olympic	Olympia
Omani	Oman
Ontario	Ontario
Oregonian	Oregon
Oslovian	Oslo
Otago	Otago
Ottawan	Ottawa
Oxonian	Oxford
Paduan	Padua
Pakistani	Pakistan
Palauan	Palau
Palermitan	Palermo
Palestinian	Palestinian territories
Palmerstonian	Palmerston North
Panamanian	Panama
Papua New Guinean	Papua New Guinea
Paraguayan	Paraguay
Parisian	Paris
Parmesan	Parma
Pennsylvanian	Pennsylvania
Persian	Persia
Perth	Perth
Perugian	Perugia
Peruvian	Peru
Philippian	Philippi
Philippine	Philippines
Phocian	Phocis
Phoenician	Phoenicia
Phrygian	Phrygia
Pisan	Pisa
Pitcairn Island	Pitcairn Island
Pittsburgher	Pittsburgh
Polish	Poland
Polmonter	Polmont
Pomeranian	Pomerania
Pompeian	Pompeii
Ponferradian	Ponferrada
Porteño	Buenos Aires
Portlander	Portland
Portuguese	Portugal
Praguer	Prague
Prince Edward Island	Prince Edward Island
Prussian	Prussia
Puerto Rican	Puerto Rico
Pylian	Pylos
Qatari	Qatar
Queensland	Queensland
Regina	Regina
Rethymnian	Rethymno
Rhodesian	Rhodesia
Rhodian	Rhodes
Roman	Rome
Romanian	Romania
Russian	Russia
Rwandan	Rwanda
Réunionese	Réunion
Sahrawi	Western Sahara
Saint-Pierrais	Saint-Pierre and Miquelon
Salernitan	Salerno
Salvadoran	El Salvador
Sammarinese	San Marino
Samoan	Samoa
San Diegan	San Diego
San Franciscan	San Francisco
Saskatchewan	Saskatchewan
Saskatoon	Saskatoon
Saturnian	Saturn
Saudi	Saudi Arabia
Scottish	Scotland
Seattleite	Seattle
Senegalese	Senegal
Seoulite	Seoul
Serbian	Serbia
Serrean	Serres
Seychellois	Seychelles
Siamese	Siam
Sienese	Siena
Sierra Leonean	Sierra Leone
Silesian	Silesia
Singaporean	Singapore
Slovak	Slovakia
Slovenian	Slovenia
Solar	Sun
Solomon Island	Solomon Islands
Somali	Somalia
Somaliland	Somaliland
Sorrentine	Sorrento
South African	South Africa
South American	South America
South Australian	South Australia
South Carolinian	South Carolina
South Korean	South Korea
Southland	Southland
Soviet	Soviet Union
Spanish	Spain
Spartan	Sparta
Spoletian	Spoleto
Sri Lankan	Sri Lanka
St. Helenian	St. Helena
St. Louisan	St. Louis
St. Lucian	St. Lucia
St. Vincentian	St. Vincent and the Grenadines
Stockholmer	Stockholm
