Aberdeen	Aberdonian
Abyssinia	Abyssinian
Acadia	Acadian
Afghanistan	Afghan
Africa	African
Akkadia	Akkadian
Alabama	Alabamian
Alaska	Alaskan
Albania	Albanian
Alberta	Alberta
Algeria	Algerian
Amalfi	Amalfitan
Samoan	American
United	American
Andorra	Andorran
Los	Angeleno
Angola	Angolan
Anguilla	Anguillan
Antarctica	Antarctic
Antigua	Antiguan
Aosta	Aostan
Argentina	Argentine
Argos	Argive
Arizona	Arizonan
Arkansas	Arkansan
Armagh	Armachian
Armenia	Armenian
Aruba	Aruban
Asia	Asian
Athens	Athenian
Atlanta	Atlantan
Auckland	Auckland
Australasia	Australasian
Australia	Australian
Austria	Austrian
Austria-Hungary	Austro-Hungarian
Azerbaijan	Azerbaijani
Babylonia	Babylonian
Bactria,	Bactrian
Bahamas	Bahamian
Bahrain	Bahraini
Baltimore	Baltimorean
Bangkok	Bangkokian
Bangladesh	Bangladeshi
Barbados	Barbadian
Lesotho	Basotho
Rougean	Baton
of	Bay
Belarus	Belarusian
Belgium	Belgian
Belize	Belizean
Benevento	Beneventan
Benin	Beninese
Bergamo	Bergamasque
Berlin	Berliner
Bermuda	Bermudian
Berne	Bernese
Bessarabia	Bessarabian
Bhutan	Bhutanese
Birmingham	Birminghamian
Blefuscu	Blefuscudian
Bolivia	Bolivian
Bologna	Bolognese
Bosnia	Bosnian
Boston	Bostonian
Brazil	Brazilian
Brescia	Brescian
Brisbane	Brisbane
Bristol	Bristolian
United	British
Columbian	British
Virgin	British
Brobdingnag	Brobdingnagian
Brunei	Bruneian
Budapest	Budapesi
Bulgaria	Bulgarian
Burkina	Burkinabe
Burma	Burmese
Burundi	Burundian
Byzantium	Byzantine
Calgary	Calgarian
California	Californian
Cambodia	Cambodian
Cameroon	Cameroonian
Canada	Canadian
Australian	Canberran
Cambridge	Cantabrigian
Canterbury	Canterbury
Verdean	Cape
Mexico	Capitalino
Caracas	Caraquenian
Rio	Carioca
Carthage	Carthaginian
Carystus	Carystian
Cayman	Caymanian
African	Central
Ceylon	Ceylonese
Chad	Chadian
Charlotte	Charlottean
Chechnya	Chechnyan
Chicago	Chicagoan
Chile	Chilean
China	Chinese
Island	Christmas
Island	Cocos
Colombia	Colombian
Colorado	Coloradan
Colossae	Colossian
Comoros	Comorian
Confederate	Confederate
Congo	Congolese
Island	Cook
Copenhagen	Copenhagener
Corinth	Corinthian
Cork	Cork
Rican	Costa
Croatia	Croatian
Cuba	Cuban
Cyprus	Cypriot
Cyrenaica	Cyrenaic
Czech	Czech
Czechoslovakia	Czechoslovakian
Dacia	Dacian
Denmark	Danish
Delaware	Delawarean
Denver	Denverite
Djibouti	Djiboutian
Dominica	Dominican
Dominican	Dominican
Dublin	Dublin
Dundee	Dundonian
Dunedin	Dunedin
Netherlands	Dutch
Antillean	Dutch
Coast	East
Ecuador	Ecuadorian
Edmonton	Edmontonian
Egypt	Egyptian
Elam	Elamite
United	Emirati
England	English
Ephesus	Ephesian
Epidaurus	Epidaurian
Guinean	Equatorial
Eritrea	Eritrean
Estonia	Estonian
Ethiopia	Ethiopian
Etruria	Etruscan
Eurasia	Eurasian
Europe	European
Island	Falkland
Faroe	Faroese
Fiji	Fijian
Finland	Finnish
Florence	Florentine
Florida	Floridian
France	French
Guianese	French
Polynesian	French
Gabon	Gabonese
Galatia	Galatian
Gaul	Gallic
Galway	Galway
Gambia	Gambian
Geneva	Genevan
Genoa	Genoese
Georgia	Georgian
Germany	German
Germania	Germanian
Ghana	Ghanaian
Gibraltar	Gibraltar
Glasgow	Glaswegian
Greece	Greek
Greenland	Greenlandic
Grenada	Grenadian
Guadeloupe	Guadeloupe
Guam	Guamanian
Guatemala	Guatemalan
Guinea-Bissau	Guinean
Guyana	Guyanese
Haiti	Haitian
Halifax	Haligonian
Hamilton	Hamiltonian
Hanover	Hanoverian
Hawaii	Hawaiian
Bay	Hawke's
Honduras	Honduran
Kong	Hong
Honolulu	Honolulan
Houston	Houstonian
Hungary	Hungarian
Kiribati	I-Kiribati
Iceland	Icelandic
Idaho	Idahoan
Illinois	Illinoisan
Illyria	Illyrian
India	Indian
Indonesia	Indonesian
Invercargill	Invercargill
Inverness	Invernessian
Iowa	Iowan
Iran	Iranian
Iraq	Iraqi
Ireland	Irish
Israel	Israeli
Italy	Italian
Côte	Ivorian
Jamaica	Jamaican
Japan	Japanese
Jerusalem	Jerusalemite
Jordan	Jordanian
Jupiter	Jovian
Kansas	Kansan
Kastoria	Kastorian
Kazakhstan	Kazakhstani
Kenya	Kenyan
Kingston	Kingstonian
St.	Kittitian
Kuwait	Kuwaiti
Kyrgyzstan	Kyrgyzstani
Laos	Laotian
Laputa	Laputan
Latvia	Latvian
Lebanon	Lebanese
Leghorn	Leghornese
León	Leonese
Liberia	Liberian
Libya	Libyan
Liechtenstein	Liechtenstein
Lilliput	Lilliputian
Lithuania	Lithuanian
Liverpool	Liverpudlian
Locris	Locrian
London	Londoner
Louisiana	Louisianan
Moon	Lunar
Luxembourg	Luxembourg
Lyon	Lyonese
Macau	Macanese
Republic	Macedonian
Madrid	Madrilenian
Mayotte	Mahoran
Málaga	Malagan
Madagascar	Malagasy
Malawi	Malawian
Malaya	Malay
Malaysia	Malaysian
Maldives	Maldivian
Mali	Malian
Malta	Maltese
Manchuria	Manchurian
Manchester	Mancunian
Manhattan	Manhattanite
Manila	Manileño
Manitoba	Manitoba
Mantua	Mantuan
Isle	Manx
Marathon	Marathonian
Marlborough	Marlborough
Marseille	Marseillais
Marshall	Marshallese
Mars	Martian
Martinique	Martiniquais
Mauritania	Mauritanian
Mauritius	Mauritian
Megara	Megarian
Melbourne	Melburnian
Memphis	Memphian
Mercury	Mercurian
Mesopotamia	Mesopotamian
Messina	Messinese
Mexico	Mexican
Micronesia	Micronesian
Milan	Milanese
Minnesota	Minnesotan
Missouri	Missourian
Modena	Modenese
Moldavia	Moldavian
Moldova	Moldovan
Mongolia	Mongolian
Montana	Montanan
Montenegro	Montenegrin
Montreal	Montreal
Montserrat	Montserratian
Monaco	Monégasque
Moravia	Moravian
Morocco	Moroccan
Botswana	Motswana
Mozambique	Mozambican
Moscow	Muscovite
Myanmar	Myanma
Munich	Münchner
Namibia	Namibian
Nashville	Nashvillian
Nauru	Nauran
Naples	Neapolitan
Nebraska	Nebraskan
Nelson	Nelson
Nelson	Nelsonian
Nepal	Nepali
Neptune	Neptunian
Brunswick	New
Caledonian	New
Hampshirite	New
Mexican	New
Orleanian	New
South	New
Yorker	New
Zealand	New
and	Newfoundland
Vanuatu	Ni-Vanuatu
Nicaragua	Nicaraguan
Nicosia	Nicosian
Nigeria	Nigerian
Niger	Nigerien
Niue	Niuean
Nice	Niçois
American	North
Carolinian	North
Korean	North
Northampton	Northamptonian
Marianan	Northern
Territory	Northern
Northland	Northland
Territorian	Northwest
Norway	Norwegian
Scotia	Nova
Newcastle	Novocastrian
Nunavut	Nunavut
Oakland	Oaklander
Oamaru	Oamaru
Oceania	Oceanian
Odessa	Odessit
Okinawa	Okinawan
Oklahoma	Oklahoman
Olympia	Olympic
Oman	Omani
Ontario	Ontario
Oregon	Oregonian
Oslo	Oslovian
Otago	Otago
Ottawa	Ottawan
Oxford	Oxonian
Padua	Paduan
Pakistan	Pakistani
Palau	Palauan
Palermo	Palermitan
Palestinian	Palestinian
Palmerston	Palmerstonian
Panama	Panamanian
New	Papua
Paraguay	Paraguayan
Paris	Parisian
Parma	Parmesan
Pennsylvania	Pennsylvanian
Persia	Persian
Perth	Perth
Perugia	Perugian
Peru	Peruvian
Philippi	Philippian
Philippines	Philippine
Phocis	Phocian
Phoenicia	Phoenician
Phrygia	Phrygian
Pisa	Pisan
Island	Pitcairn
Pittsburgh	Pittsburgher
Poland	Polish
Polmont	Polmonter
Pomerania	Pomeranian
Pompeii	Pompeian
Ponferrada	Ponferradian
Buenos	Porteño
Portland	Portlander
Portugal	Portuguese
Prague	Praguer
Edward	Prince
Prussia	Prussian
Rican	Puerto
Pylos	Pylian
Qatar	Qatari
Queensland	Queensland
Regina	Regina
Rethymno	Rethymnian
Rhodesia	Rhodesian
Rhodes	Rhodian
Rome	Roman
Romania	Romanian
Russia	Russian
Rwanda	Rwandan
Réunion	Réunionese
Western	Sahrawi
Saint-Pierre	Saint-Pierrais
Salerno	Salernitan
El	Salvadoran
San	Sammarinese
Samoa	Samoan
Diegan	San
Franciscan	San
Saskatchewan	Saskatchewan
Saskatoon	Saskatoon
Saturn	Saturnian
Saudi	Saudi
Scotland	Scottish
Seattle	Seattleite
Senegal	Senegalese
Seoul	Seoulite
Serbia	Serbian
Serres	Serrean
Seychelles	Seychellois
Siam	Siamese
Siena	Sienese
Leonean	Sierra
Silesia	Silesian
Singapore	Singaporean
Slovakia	Slovak
Slovenia	Slovenian
Sun	Solar
Island	Solomon
Somalia	Somali
Somaliland	Somaliland
Sorrento	Sorrentine
African	South
American	South
Australian	South
Carolinian	South
Korean	South
Southland	Southland
Soviet	Soviet
Spain	Spanish
Sparta	Spartan
Spoleto	Spoletian
Lankan	Sri
Helenian	St.
Louisan	St.
Lucian	St.
Vincentian	St.
Stockholm	Stockholmer
Sudan	Sudanese
Sudetenland	Sudetes
Sumer	Sumerian
Surinam	Surinamese
Swaziland	Swazi
Sweden	Swedish
Switzerland	Swiss
Sydney	Sydney
Syracuse	Syracusan
Syria	Syrian
Toméan	São
Taiwan	Taiwanese
Tajikistan	Tajikistani
Tanzania	Tanzanian
Guadalajara	Tapatío
Taranaki	Taranaki
Taranto	Tarantine
Tasman	Tasman
Tasmania	Tasmanian
Earth	Terran
Texas	Texan
Thailand	Thai
Thebes	Theban
Thessaloniki	Thessalonian
East	Timorese
Togo	Togolese
Tokyo	Tokyoite
Tonga	Tongan
Toronto	Toronto
Tournai	Tournaisian
Transylvania	Transylvanian
Trent	Tridentine
Trieste	Triestine
Trois-Rivières	Trifluvien
Trinidad	Trinidadian
Tripoli	Tripolitan
Troy	Trojan
Tucson	Tucsonan
Tulsa	Tulsan
Tunisia	Tunisian
Turin	Turinese
Turkey	Turkish
Turkmenistan	Turkmen
Tuvalu	Tuvaluan
Uganda	Ugandan
Ukraine	Ukrainian
Uranus	Uranian
Uruguay	Uruguayan
Utah	Utahn
Utopia	Utopian
Uzbekistan	Uzbekistani
Valencia	Valencian
Warsaw	Varsovian
Venus	Venerian
Venice	Venetian
Venezuela	Venezuelan
Veracruz	Veracruzano
Verona	Veronese
Vicenza	Vicentine
Vichy	Vichyssois
Victoria	Victorian
Vienna	Viennese
Vietnam	Vietnamese
Island	Virgin
Virginia	Virginian
Waikato	Waikato
Wallachia	Wallachian
Wallis	Wallisian
Manawatu-Wanganui	Wanganui
Washington	Washingtonian
Wellington	Wellington
Wales	Welsh
Australian	West
Coast	West
Virginian	West
Xalapa	Xalapeño
Xanthi	Xanthian
Yemen	Yemeni
Yugoslavia	Yugoslavian
Yukon	Yukon
Zaire	Zairean
Zambia	Zambian
Zimbabwe	Zimbabwean
Zululand	Zulu
