Afghanistan	afgano; afgana
Isole Åland	ålandese
Albania	albanese
Algeria	algerino; algerina
Andorra	andorrano; andorrana
Angola	angolano; angolana
Anguilla	di Anguilla; aguillano
Antigua e Barbuda	di Antigua e Barbuda
Antille olandesi	delle Antille olandesi
Arabia Saudita	saudiano; saudiana; saudita
Argentina	argentino; argentina
Armenia	armeno; armena
Aruba	arubano; arubana
Australia	australiano; australiana
Austria	austriaco; austriaca
Azerbaigian	azero; azera
Bahamas	bahamense; bahamiano
Bahrain	bahreinita
Bangladesh	bangladese
Barbados	barbadiano
Belgio	belga
Belize	belizeano
Benin	beninese; beniniano; beniniana
Bermuda	delle Bermuda
Bhutan	butanese
Birmania	birmano
Bielorussia	bielorusso; bielorussa
Bolivia	boliviano; boliviana
Bosnia-Erzegovina	bosniaco; bosniaca
Botswana	botswano; botswana
Brasile	brasiliano; brasiliana
Brunei	del Brunei
Bulgaria	bulgaro; bulgara
Burkina Faso	burkinabé
Burundi	burundese
Cambogia	cambogiano; cambogiana
Camerun	camerunese
Canada	canadese
Capo Verde	caboverdiano; caboverdiana; capoverdiano; capoverdiana
Isole Cayman	delle Cayman
Ciad	ciadiano; ciadiana
Cile	cileno; cilena
Cina	cinese
Cipro	ciprio; cipria; cipriota
Colombia	colombiano; colombiana
Comore	comoriano; comoriana
Repubblica del Congo	congolese
Rep. Dem. del Congo	congolese
Isole Cook	delle Cook
Corea del Nord	nordcoreano; nordcoreana
Corea del Sud	sudcoreano; sudcoreana
Costa d'Avorio	ivoriano; ivoriana
Costa Rica	costaricano; costaricana
Croazia	croato; croata
Cuba	cubano; cubana
Danimarca	danese
Dominica	di Dominica
Ecuador	ecuadoriano; ecuadoriana
Egitto	egiziano; egiziana
El Salvador	salvadoregno; salvadoregna
Emirati Arabi Uniti	arabo; degli Emirati arabi
Eritrea	eritreo; eritrea
Estonia	estone
Etiopia	etiope
Figi	figiano; figiana
Filippine	filippino; filippina
Finlandia	finlandese
Francia	francese
Gabon	gabonese
Gambia	gambiano; gambiana
Georgia	georgiano; georgiana
Germania	tedesco; tedesca
Ghana	ghaneano; ghaneana; ghanese
Giamaica	giamaicano; giamaicana
Giappone	giapponese
Gibuti	gibutiano; gibutiana
Giordania	giordano; giordana
Grecia	greco
Grenada	grenadino; grenadina
Guadalupa	della Guadalupa
Guam	guamano
Guatemala	guatemalteco
Guernsey	di Guernsey e Alderney
Guyana Francese	guianese
Guinea	guineano; guineana
Guinea-Bissau	della Guinea-Bissau
Guinea Equatoriale	della Guinea equatoriale
Guyana	guianese
Haiti	haitiano; haitiana
Honduras	honduregno; honduregna; honduriano; honduriana
Hong Kong	cinese; di Hong Kong
India	indiano; indiana; indú
Indonesia	indonesiano; indonesiana
Iran	iraniano; iraniana
Iraq	iracheno; irachena
Irlanda	irlandese
Islanda	islanese
Israele	israeliano; israeliana
Italia	italiano; italiana
Jugoslavia	iugoslavo; iugoslava
Jersey	di Jersey
Kazakistan	kazako; kazaka
Kenya	keniota; keniano; keniana
Kirghizistan	chirghiso; chirghisa
Kiribati	di Kiribati
Kuwait	kuwaitiano; kuwaitiana
Laos	laotiano; laotiana
Lesotho	del Lesotho
Lettonia	lettone
Libano	libanese
Liberia	liberiano; liberiana
Libia	libio; libia
Liechtenstein	del Liechtenstein
Lituania	lituano
Lussemburgo	lussemburghese
Macao	di Macao
Macedonia	macedone
Madagascar	malgascio; malgascia
Malawi	malawiano; malawiana
Malesia	malese
Maldive	maldiviano
Mali	maliano
Malta	maltese
Isola di Man	dell'Isola di Man
Isole Marianne Settentrionali	delle Marianne Settentrionali
Marocco	marocchino; marocchina
Martinica	martinicano; martinicana
Isole Marshall	marshallese
Mauritania	mauro; maura; mauritano; mauritana
Mauritius	mauriziano; mauriziana
Mayotte	di Mayotte
Messico	messicano; messicana
Micronesia	micronesiano; micronesiana
Moldavia	moldavo; moldava
Monaco	monegasco; monegasca
Mongolia	mongolo; mongola; mongolico; mongolica
Montenegro	montenegrino
Montserrat	di Montserrat
Mozambico	mozambicano
Namibia	namibiano
Nauru	nauruano
