Bulgarien	Bulgare
Dänemark	Däne
Finnland	Finne
Estland	Este
Griechenland	Grieche
Irland	Ire
Kroatien	Kroate
Lettland	Lette
Polen	Pole
Rumänien	Rumäne
Serbien	Serbe
Schottland	Schotte
Schweden	Schwede
Slowakei	Slowake
Slowenien	Slowene
Tschechische Republik	Tscheche
Türkei	Türke
Savoyen	Savoyarde
Chile	Chilene
Madagaskar	Madagasse
Monaco	Monegasse
China	Chinese
Genua	Genuese
Kalabrien	Kalabrese
Libanon	Libanese
Nepal	Nepalese
Sudan	Sudanese
Taiwan	Taiwanese
Vietnam	Vietnamese
Portugal	Portugiese
Kongo	Kongolese
Ägypten	Ägypter
Albanien	Albaner
England	Engländer
Gibraltar	Gibraltarer
Indien	Inder
Irak	Iraker
Iran	Iraner
Italien	Italiener
Japan	Japaner
Libyen	Libyer
Litauen	Litauer
Neuseeland	Neuseeländer
Norwegen	Norweger
Pakistan	Pakistaner
Sri Lanka	Sri Lanker
Ukraine	Ukrainer
Algerien	Algerier
Argentinien	Argentinier
Armenien	Armenier
Australien	Australier
Georgien	Georgier
Indonesien	Indonesier
Kanada	Kanadier
Spanien	Spanier
Tunesien	Tunesier
Kuba	Kubaner
Korea	Koreaner
Vereinigte Staaten von Amerika	Amerikaner
Südafrika	Südafrikaner
Venezuela	Venezolaner
Haiti	Haitianer
Marokko	Marokkaner
Mexiko	Mexikaner
Peru	Peruaner
Malta	Malteser
Moskowien	Moskowiter
Israel	Israeli
Saudi-Arabien	Saudi
Philippinen	Filipino
Lateinamerika	Latino
Asien	Asiat
Israel	Israelit
Jemen	Jemenit
Zypern	Zypriot
